path	line	reason	rule	text
tests/global-setup.ts	7	phase-ref-deferred	phase-ref	see phase 137
tests/playwright.config.ts	19	phase-ref-deferred	phase-ref	see phase 136
tests/playwright.config.ts	27	phase-ref-deferred	phase-ref	see phase 119
tests/playwright.config.ts	27	phase-ref-deferred	phase-ref	see phase 136
tests/playwright.config.ts	65	phase-ref-deferred	phase-ref	see phase 140
tests/playwright.config.ts	99	phase-ref-deferred	phase-ref	see phase 140
tests/playwright.config.ts	112	phase-ref-deferred	phase-ref	see phase 140
tests/playwright.config.ts	121	phase-ref-deferred	phase-ref	see phase 140
tests/playwright.config.ts	138	phase-ref-deferred	phase-ref	see phase 140
tests/playwright.config.ts	163	phase-ref-deferred	phase-ref	see phase 140
tests/playwright.config.ts	167	phase-ref-deferred	phase-ref	see phase 140
tests/playwright.config.ts	180	phase-ref-deferred	phase-ref	see phase 140
tests/playwright.config.ts	267	phase-ref-deferred	phase-ref	see phase 136
tests/playwright.config.ts	272	phase-ref-deferred	phase-ref	phase 2
tests/playwright.config.ts	275	phase-ref-deferred	phase-ref	phase 147
tests/playwright.config.ts	277	unstrippable-section-anchor	section-anchor-alpha	§
tests/playwright.config.ts	286	phase-ref-deferred	phase-ref	see phase 137
tests/playwright.config.ts	324	phase-ref-deferred	phase-ref	phase 146
tests/playwright.config.ts	330	milestone-version	milestone-ver	v2.14
tests/playwright.config.ts	347	unstrippable-section-anchor	section-anchor-alpha	§ Derivation
tests/playwright.config.ts	370	phase-ref-deferred	phase-ref	phase 65
tests/playwright.config.ts	383	attributive-reference	phase-ref	phase 147
tests/playwright.config.ts	398	phase-ref-deferred	phase-ref	see phase 136
tests/playwright.config.ts	427	attributive-reference	phase-ref	phase 55
tests/playwright.config.ts	429	attributive-reference	phase-ref	phase 3
tests/playwright.config.ts	436	unstrippable-section-anchor	section-anchor-alpha	§ Decision
tests/playwright.config.ts	441	unstrippable-section-anchor	section-anchor-alpha	§ Decision
tests/playwright.config.ts	496	unstrippable-section-anchor	section-anchor-alpha	§ Decision
tests/playwright.config.ts	540	phase-ref-deferred	phase-ref	see phase 140
tests/playwright.config.ts	549	phase-ref-deferred	phase-ref	see phase 140
tests/playwright.config.ts	568	phase-ref-deferred	phase-ref	see phase 140
tests/playwright.config.ts	589	phase-ref-deferred	phase-ref	see phase 140
tests/playwright.config.ts	596	phase-ref-deferred	phase-ref	see phase 140
tests/playwright.config.ts	655	phase-ref-deferred	phase-ref	see phase 140
tests/playwright.config.ts	662	phase-ref-deferred	phase-ref	see phase 138
